state,date,month,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity
Andhra Pradesh,2024-01-01,2024-01,23.7,240.1,-3.34,161.9,0,0
Andhra Pradesh,2024-01-31,2024-01,25.8,364.9,-1.2,298.0,0,0
Andhra Pradesh,2024-03-01,2024-03,26.5,85.2,-0.47,-7.0,0,0
Andhra Pradesh,2024-03-31,2024-03,32.7,0.0,5.66,-100.0,0,10
Andhra Pradesh,2024-04-30,2024-04,30.4,0.0,3.39,-100.0,0,10
Andhra Pradesh,2024-05-30,2024-05,31.1,78.9,4.07,-14.0,0,0
Andhra Pradesh,2024-06-29,2024-06,31.8,106.7,4.81,16.4,0,0
Andhra Pradesh,2024-07-29,2024-07,26.1,208.2,-0.95,127.1,0,0
Andhra Pradesh,2024-08-28,2024-08,25.0,100.3,-2.03,9.4,0,0
Andhra Pradesh,2024-09-27,2024-09,22.7,0.0,-4.32,-100.0,0,10
Andhra Pradesh,2024-10-27,2024-10,25.6,0.0,-1.4,-100.0,0,10
Andhra Pradesh,2024-11-26,2024-11,22.1,52.5,-4.86,-42.7,0,10
Arunachal Pradesh,2024-01-01,2024-01,21.6,258.8,-5.42,182.3,0,0
Arunachal Pradesh,2024-01-31,2024-01,22.2,278.7,-4.8,204.0,0,0
Arunachal Pradesh,2024-03-01,2024-03,25.8,83.6,-1.2,-8.8,0,0
Arunachal Pradesh,2024-03-31,2024-03,28.3,0.0,1.3,-100.0,0,10
Arunachal Pradesh,2024-04-30,2024-04,31.3,0.0,4.3,-100.0,0,10
Arunachal Pradesh,2024-05-30,2024-05,33.6,58.1,6.65,-36.6,0,10
Arunachal Pradesh,2024-06-29,2024-06,31.7,103.2,4.75,12.6,0,0
Arunachal Pradesh,2024-07-29,2024-07,26.8,265.2,-0.16,189.3,0,0
Arunachal Pradesh,2024-08-28,2024-08,28.5,96.4,1.48,5.1,0,0
Arunachal Pradesh,2024-09-27,2024-09,24.3,0.0,-2.73,-100.0,0,10
Arunachal Pradesh,2024-10-27,2024-10,19.7,0.0,-7.29,-100.0,0,10
Arunachal Pradesh,2024-11-26,2024-11,21.1,120.7,-5.92,31.7,0,0
Assam,2024-01-01,2024-01,20.4,300.3,-3.64,28.7,0,0
Assam,2024-01-31,2024-01,22.1,563.8,-1.85,141.6,0,0
