state,date,month,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr
Andhra Pradesh,2024-01-01,2024-01,300000.0,6.61,5.88,8.3,60000000.0
Andhra Pradesh,2024-01-31,2024-01,301460.0,6.07,5.77,9.8,60292053.0
Andhra Pradesh,2024-03-01,2024-03,302928.0,5.49,6.26,6.0,60585528.0
Andhra Pradesh,2024-03-31,2024-03,304402.0,6.56,6.61,12.1,60880431.0
Andhra Pradesh,2024-04-30,2024-04,305884.0,5.73,6.15,6.8,61176769.0
Andhra Pradesh,2024-05-30,2024-05,307373.0,6.62,6.25,7.9,61474550.0
Andhra Pradesh,2024-06-29,2024-06,308869.0,6.08,5.95,11.2,61773781.0
Andhra Pradesh,2024-07-29,2024-07,310372.0,6.72,5.19,6.3,62074468.0
Andhra Pradesh,2024-08-28,2024-08,311883.0,5.79,5.01,7.1,62376618.0
Andhra Pradesh,2024-09-27,2024-09,313401.0,5.52,4.9,8.9,62680240.0
Andhra Pradesh,2024-10-27,2024-10,314927.0,6.02,4.71,8.5,62985339.0
Andhra Pradesh,2024-11-26,2024-11,316460.0,5.54,5.57,11.1,63291923.0
Arunachal Pradesh,2024-01-01,2024-01,300000.0,5.08,5.52,6.0,60000000.0
Arunachal Pradesh,2024-01-31,2024-01,301460.0,5.67,6.27,6.1,60292053.0
Arunachal Pradesh,2024-03-01,2024-03,302928.0,5.54,6.36,9.4,60585528.0
Arunachal Pradesh,2024-03-31,2024-03,304402.0,6.03,6.58,9.4,60880431.0
Arunachal Pradesh,2024-04-30,2024-04,305884.0,5.73,6.58,12.3,61176769.0
Arunachal Pradesh,2024-05-30,2024-05,307373.0,6.67,5.91,10.7,61474550.0
Arunachal Pradesh,2024-06-29,2024-06,308869.0,6.41,5.46,10.6,61773781.0
Arunachal Pradesh,2024-07-29,2024-07,310372.0,6.77,4.96,7.2,62074468.0
Arunachal Pradesh,2024-08-28,2024-08,311883.0,6.51,5.02,10.1,62376618.0
Arunachal Pradesh,2024-09-27,2024-09,313401.0,6.17,4.92,6.3,62680240.0
Arunachal Pradesh,2024-10-27,2024-10,314927.0,6.52,5.28,8.5,62985339.0
Arunachal Pradesh,2024-11-26,2024-11,316460.0,5.98,4.84,10.0,63291923.0
Assam,2024-01-01,2024-01,300000.0,6.29,5.78,11.2,60000000.0
Assam,2024-01-31,2024-01,301460.0,5.83,6.47,7.0,60292053.0
Assam,2024-03-01,2024-03,302928.0,5.99,6.61,9.5,60585528.0
Assam,2024-03-31,2024-03,304402.0,5.82,6.76,10.7,60880431.0
Assam,2024-04-30,2024-04,305884.0,5.78,6.18,12.5,61176769.0
Assam,2024-05-30,2024-05,307373.0,6.69,5.91,10.4,61474550.0
Assam,2024-06-29,2024-06,308869.0,5.75,5.88,9.6,61773781.0
Assam,2024-07-29,2024-07,310372.0,5.88,5.06,7.6,62074468.0
Assam,2024-08-28,2024-08,311883.0,5.54,4.68,8.9,62376618.0
Assam,2024-09-27,2024-09,313401.0,5.64,5.0,12.0,62680240.0
Assam,2024-10-27,2024-10,314927.0,5.71,5.01,10.0,62985339.0
Assam,2024-11-26,2024-11,316460.0,6.24,5.32,10.5,63291923.0
Bihar,2024-01-01,2024-01,200000.0,8.74,6.13,14.5,40000000.0
Bihar,2024-01-31,2024-01,200974.0,8.94,6.77,12.8,40194702.0
Bihar,2024-03-01,2024-03,201952.0,8.84,7.3,14.9,40390352.0
Bihar,2024-03-31,2024-03,202935.0,9.68,7.26,10.0,40586954.0
Bihar,2024-04-30,2024-04,203923.0,8.65,7.58,12.3,40784513.0
Bihar,2024-05-30,2024-05,204915.0,9.23,6.6,14.1,40983034.0
Bihar,2024-06-29,2024-06,205913.0,8.2,7.02,16.7,41182521.0
Bihar,2024-07-29,2024-07,206915.0,8.12,5.84,14.5,41382979.0
Bihar,2024-08-28,2024-08,207922.0,8.31,5.62,12.8,41584412.0
Bihar,2024-09-27,2024-09,208934.0,7.54,5.5,11.4,41786827.0
Bihar,2024-10-27,2024-10,209951.0,8.25,6.07,10.2,41990226.0
Bihar,2024-11-26,2024-11,210973.0,8.91,5.92,12.2,42194616.0
Chhattisgarh,2024-01-01,2024-01,300000.0,6.4,5.9,10.1,60000000.0
Chhattisgarh,2024-01-31,2024-01,301460.0,6.48,6.2,7.8,60292053.0
Chhattisgarh,2024-03-01,2024-03,302928.0,5.46,6.42,14.9,60585528.0
Chhattisgarh,2024-03-31,2024-03,304402.0,6.62,6.39,6.4,60880431.0
Chhattisgarh,2024-04-30,2024-04,305884.0,6.24,6.83,10.1,61176769.0
Chhattisgarh,2024-05-30,2024-05,307373.0,5.87,6.26,9.7,61474550.0
