state,date,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr,year_month
Andaman and Nicobar Islands,2024-01-01,24.3286297936221,223.06519505490937,-3.34,161.9,0,0,8622.0,49.4,2.7,135.0,5468.0,178740.46731550645,6.61,5.88,8.3,60000000.0,2024-01
Andaman and Nicobar Islands,2024-01-31,25.878623823735143,351.95278459281604,-1.2,298.0,0,0,15052.0,49.4,7.2,89.5,5245.0,176894.9636184089,6.07,5.77,9.8,60292053.0,2024-01
Andaman and Nicobar Islands,2024-03-01,26.34384176484858,88.40252822352075,-0.47,-7.0,0,0,9067.0,53.8,7.1,92.5,5355.0,93790.03194849216,5.49,6.26,6.0,60585528.0,2024-03
Andaman and Nicobar Islands,2024-03-31,33.97976705726433,0.0,5.66,-100.0,0,10,13066.0,60.8,3.9,78.4,5308.0,212306.378424422,6.56,6.61,12.1,60880431.0,2024-03
Andaman and Nicobar Islands,2024-04-30,31.235048104529213,0.0,3.39,-100.0,0,10,5593.0,56.6,24.1,75.0,5462.0,174426.1764292797,5.73,6.15,6.8,61176769.0,2024-04
Andaman and Nicobar Islands,2024-05-30,30.770459888221176,84.19312414333129,4.07,-14.0,0,0,14445.0,60.2,3.4,85.9,4296.0,175652.68237064846,6.62,6.25,7.9,61474550.0,2024-05
Andaman and Nicobar Islands,2024-06-29,31.978853351037202,109.0904178827252,4.81,16.4,0,0,10330.0,48.6,6.8,135.1,3959.0,118994.48690287766,6.08,5.95,11.2,61773781.0,2024-06
Andaman and Nicobar Islands,2024-07-29,25.539771218147628,212.18217547880468,-0.95,127.1,0,0,20089.0,54.5,5.6,89.1,5200.0,181749.3970414613,6.72,5.19,6.3,62074468.0,2024-07
Andaman and Nicobar Islands,2024-08-28,25.91211799342239,107.90707222571305,-2.03,9.4,0,0,14887.0,55.6,8.3,103.0,4818.0,93585.19715153432,5.79,5.01,7.1,62376618.0,2024-08
Andaman and Nicobar Islands,2024-09-27,21.84440259088553,0.0,-4.32,-100.0,0,10,14829.0,46.4,25.9,73.0,5372.0,113344.79422558915,5.52,4.9,8.9,62680240.0,2024-09
Andaman and Nicobar Islands,2024-10-27,26.17817923606473,0.0,-1.4,-100.0,0,10,12410.0,55.1,24.4,107.0,4730.0,114307.63914508736,6.02,4.71,8.5,62985339.0,2024-10
Andaman and Nicobar Islands,2024-11-26,22.70075160602046,54.20314696378613,-4.86,-42.7,0,10,10132.0,50.1,25.6,108.2,4149.0,208402.5346806676,5.54,5.57,11.1,63291923.0,2024-11
Andaman and Nicobar Islands,2025-01-01,19.9,31.4,1.41,-74.9,0,10,1300.0,46.3,10.1,106.9,5389.0,172470.0,6.91,6.82,12.2,66372.0,2025-01
Andaman and Nicobar Islands,2025-01-02,20.1,33.5,-0.88,-73.2,0,10,1311.0,54.0,8.9,133.3,5146.0,169832.0,6.38,5.82,11.2,63101.0,2025-01
Andaman and Nicobar Islands,2025-01-03,18.5,38.8,3.68,-69.0,0,5,1214.0,46.6,7.1,132.6,4211.0,166135.0,6.88,4.89,8.5,70108.0,2025-01
Andaman and Nicobar Islands,2025-01-04,19.3,47.5,3.38,-62.0,0,10,1053.0,43.0,9.9,93.7,5678.0,172310.0,6.81,5.73,9.1,56108.0,2025-01
Andaman and Nicobar Islands,2025-01-05,19.2,39.7,2.1,-68.3,0,9,1037.0,46.6,8.4,135.7,4534.0,168374.0,6.28,5.85,9.0,61907.0,2025-01
Andaman and Nicobar Islands,2025-01-06,20.3,32.1,0.2,-74.3,0,7,949.0,47.8,7.4,134.4,5843.0,166131.0,6.31,5.5,8.6,72488.0,2025-01
Andaman and Nicobar Islands,2025-01-07,20.0,34.7,2.65,-72.3,0,5,1247.0,42.4,5.1,136.2,4376.0,165862.0,6.94,6.74,11.2,62703.0,2025-01
Andaman and Nicobar Islands,2025-01-08,20.8,48.7,-1.02,-61.0,0,7,1014.0,41.3,6.2,130.8,4756.0,167625.0,6.01,5.65,12.5,54317.0,2025-01
Andaman and Nicobar Islands,2025-01-09,22.6,26.3,0.62,-79.0,0,8,1305.0,43.3,7.7,102.4,5247.0,168067.0,6.67,6.19,8.7,49519.0,2025-01
Andaman and Nicobar Islands,2025-01-10,19.8,48.7,1.65,-61.0,0,6,1166.0,44.3,7.1,118.5,5535.0,170523.0,7.0,6.91,9.3,66588.0,2025-01
Andaman and Nicobar Islands,2025-01-11,20.5,41.7,-0.41,-66.7,0,5,995.0,44.7,6.8,117.3,5022.0,171146.0,6.82,4.65,11.1,74933.0,2025-01
Andaman and Nicobar Islands,2025-01-12,20.7,40.1,1.36,-67.9,0,10,1113.0,55.5,8.1,135.9,5038.0,167761.0,6.86,6.08,12.9,56207.0,2025-01
Andaman and Nicobar Islands,2025-01-13,21.6,42.4,2.96,-66.1,0,10,1103.0,53.2,10.1,92.5,5959.0,169425.0,6.42,5.99,10.4,71371.0,2025-01
Andaman and Nicobar Islands,2025-01-14,18.3,27.2,0.13,-78.2,0,5,1134.0,58.1,5.7,138.3,5855.0,172085.0,6.86,5.28,10.3,58147.0,2025-01
