state,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr,month,climate_stress,agri_stress,econ_stress,total_risk
Andaman and Nicobar Islands,25.10362680867862,575.0179796477254,-2.27,229.95,0,0.0,23674.0,49.4,4.95,112.25,5356.5,177817.71546695766,6.34,5.824999999999999,9.05,60146026.5,2024-01,25.820707070707073,41.47727272727273,41.72979797979798,35.27777777777778
Andaman and Nicobar Islands,30.16180441105646,88.40252822352075,2.595,-53.5,0,5.0,22133.0,57.3,5.5,85.45,5331.5,153048.20518645708,6.025,6.4350000000000005,9.05,60732979.5,2024-03,51.70454545454546,51.70454545454546,69.00252525252525,56.0290404040404
Andaman and Nicobar Islands,31.235048104529213,0.0,3.39,-100.0,0,10.0,5593.0,56.6,24.1,75.0,5462.0,174426.1764292797,5.73,6.15,6.8,61176769.0,2024-04,96.90656565656566,86.93181818181817,22.53787878787879,74.82323232323233
Andaman and Nicobar Islands,30.770459888221176,84.19312414333129,4.07,-14.0,0,0.0,14445.0,60.2,3.4,85.9,4296.0,175652.68237064846,6.62,6.25,7.9,61474550.0,2024-05,19.38131313131313,5.492424242424242,58.90151515151515,24.400252525252526
Andaman and Nicobar Islands,31.978853351037202,109.0904178827252,4.81,16.4,0,0.0,10330.0,48.6,6.8,135.1,3959.0,118994.48690287766,6.08,5.95,11.2,61773781.0,2024-06,21.022727272727273,46.78030303030303,77.46212121212122,44.14772727272727
Andaman and Nicobar Islands,25.539771218147628,212.18217547880468,-0.95,127.1,0,0.0,20089.0,54.5,5.6,89.1,5200.0,181749.3970414613,6.72,5.19,6.3,62074468.0,2024-07,21.52777777777778,39.58333333333333,14.078282828282829,25.984848484848484
Andaman and Nicobar Islands,25.91211799342239,107.90707222571305,-2.03,9.4,0,0.0,14887.0,55.6,8.3,103.0,4818.0,93585.19715153432,5.79,5.01,7.1,62376618.0,2024-08,2.840909090909091,47.41161616161616,8.143939393939394,19.76641414141414
Andaman and Nicobar Islands,21.84440259088553,0.0,-4.32,-100.0,0,10.0,14829.0,46.4,25.9,73.0,5372.0,113344.79422558915,5.52,4.9,8.9,62680240.0,2024-09,85.79545454545455,95.64393939393939,10.416666666666668,70.39772727272727
Andaman and Nicobar Islands,26.17817923606473,0.0,-1.4,-100.0,0,10.0,12410.0,55.1,24.4,107.0,4730.0,114307.63914508736,6.02,4.71,8.5,62985339.0,2024-10,91.09848484848484,88.4469696969697,11.679292929292929,70.31565656565657
Andaman and Nicobar Islands,22.70075160602046,54.20314696378613,-4.86,-42.7,0,10.0,10132.0,50.1,25.6,108.2,4149.0,208402.5346806676,5.54,5.57,11.1,63291923.0,2024-11,58.6489898989899,93.75,35.29040404040404,65.09469696969697
Andaman and Nicobar Islands,20.551612903225806,1172.2,1.35,-69.78064516129032,0,7.387096774193548,34947.0,48.97096774193548,7.674193548387097,119.24193548387096,5190.387096774193,169537.70967741936,6.638387096774193,5.8990322580645165,10.63225806451613,61042.74193548387,2025-01,70.70707070707071,67.2979797979798,79.67171717171718,71.75505050505052
Andaman and Nicobar Islands,22.160714285714285,1032.0,1.7328571428571429,-70.54285714285714,0,8.178571428571429,31388.0,50.24285714285714,8.178571428571429,110.19642857142857,4915.178571428572,168578.2857142857,6.441071428571428,5.5321428571428575,10.517857142857142,59987.642857142855,2025-02,85.22727272727273,80.55555555555556,62.878787878787875,78.0050505050505
Andaman and Nicobar Islands,24.700000000000003,1158.7,1.16,-70.11612903225806,0,6.935483870967742,99155.0,48.63548387096775,7.390322580645161,109.74516129032257,4950.1612903225805,169823.90322580645,6.460645161290323,5.733225806451612,10.287096774193548,61854.45161290323,2025-03,56.060606060606055,56.81818181818182,71.84343434343434,60.27146464646465
Andaman and Nicobar Islands,27.09333333333333,1110.1,1.154,-70.42333333333333,0,7.533333333333333,95085.0,51.2,7.763333333333334,110.47666666666667,5103.866666666667,169434.4,6.515666666666666,5.966666666666667,10.223333333333333,59614.76666666667,2025-04,73.23232323232324,63.888888888888886,77.77777777777779,71.09848484848484
Andaman and Nicobar Islands,29.12258064516129,1171.1,0.7806451612903226,-69.80000000000001,0,7.354838709677419,99922.0,49.9741935483871,7.448387096774193,117.39354838709677,4912.0,169124.61290322582,6.491935483870968,5.604193548387096,10.245161290322581,63607.16129032258,2025-05,62.62626262626263,59.84848484848485,64.8989898989899,62.22222222222222
Andaman and Nicobar Islands,30.363333333333333,13243.5,1.1583333333333334,252.9033333333333,0,0.0,31967.0,49.63,3.86,111.00333333333333,4988.8,169331.13333333333,6.448333333333333,5.943333333333333,10.370000000000001,59080.36666666667,2025-06,42.29797979797979,22.727272727272727,76.64141414141415,44.03409090909091
Andaman and Nicobar Islands,29.06451612903226,13512.9,1.1780645161290324,248.4774193548387,0,0.0,35449.0,50.84838709677419,4.02258064516129,107.75483870967743,4970.129032258064,169393.4193548387,6.5600000000000005,5.700645161290322,9.893548387096773,60500.032258064515,2025-07,39.77272727272727,19.570707070707073,66.28787878787878,39.33080808080808
Andaman and Nicobar Islands,27.483870967741936,14358.1,1.0325806451612902,270.2741935483871,0,0.0,34219.0,48.46451612903226,4.074193548387097,111.37096774193549,5100.5161290322585,168557.96774193548,6.485483870967743,5.677096774193549,10.612903225806452,57121.096774193546,2025-08,47.72727272727273,36.36363636363637,74.11616161616162,50.34722222222223
Andaman and Nicobar Islands,25.186666666666667,12649.8,1.151,237.1,0,0.0,34055.0,49.65333333333333,3.6333333333333333,106.29666666666667,5095.1,168642.6,6.530333333333333,5.423666666666667,10.629999999999999,58237.3,2025-09,32.323232323232325,14.267676767676768,62.5,33.5479797979798
Andaman and Nicobar Islands,22.87741935483871,4603.5,1.525806451612903,18.729032258064517,0,0.0,120434.0,51.12580645161291,4.087096774193548,107.56129032258065,4946.096774193548,169120.2258064516,6.513548387096773,5.551612903225807,10.316129032258065,58091.709677419356,2025-10,14.520202020202019,19.82323232323232,63.38383838383839,28.592171717171716
Andaman and Nicobar Islands,20.996666666666666,4420.0,1.6956666666666667,17.779999999999998,0,0.0,120056.0,50.31666666666667,4.2,109.64333333333335,5103.1,168848.2,6.514333333333334,5.525333333333333,10.31,58904.76666666667,2025-11,14.772727272727273,29.797979797979796,60.984848484848484,31.58459595959596
Andaman and Nicobar Islands,19.596774193548388,1163.9,0.8135483870967741,-69.99032258064516,0,7.709677419354839,122112.0,50.561290322580646,7.651612903225806,111.00967741935484,5166.870967741936,169244.83870967742,6.478387096774194,5.666451612903225,10.422580645161291,58939.83870967742,2025-12,74.4949494949495,68.81313131313132,71.46464646464646,71.74873737373738
Andhra Pradesh,24.75,605.0,-2.27,229.95,0,0.0,23674.0,49.4,4.95,112.25,5356.5,300730.0,6.34,5.824999999999999,9.05,60146026.5,2024-01,25.820707070707073,41.47727272727273,41.72979797979798,35.27777777777778
Andhra Pradesh,29.6,85.2,2.595,-53.5,0,5.0,22133.0,57.3,5.5,85.45,5331.5,303665.0,6.025,6.4350000000000005,9.05,60732979.5,2024-03,51.70454545454546,51.70454545454546,69.00252525252525,56.0290404040404
Andhra Pradesh,30.4,0.0,3.39,-100.0,0,10.0,5593.0,56.6,24.1,75.0,5462.0,305884.0,5.73,6.15,6.8,61176769.0,2024-04,96.90656565656566,86.93181818181817,22.53787878787879,74.82323232323233
Andhra Pradesh,31.1,78.9,4.07,-14.0,0,0.0,14445.0,60.2,3.4,85.9,4296.0,307373.0,6.62,6.25,7.9,61474550.0,2024-05,19.38131313131313,5.492424242424242,58.90151515151515,24.400252525252526
Andhra Pradesh,31.8,106.7,4.81,16.4,0,0.0,10330.0,48.6,6.8,135.1,3959.0,308869.0,6.08,5.95,11.2,61773781.0,2024-06,21.022727272727273,46.78030303030303,77.46212121212122,44.14772727272727
Andhra Pradesh,26.1,208.2,-0.95,127.1,0,0.0,20089.0,54.5,5.6,89.1,5200.0,310372.0,6.72,5.19,6.3,62074468.0,2024-07,21.52777777777778,39.58333333333333,14.078282828282829,25.984848484848484
Andhra Pradesh,25.0,100.3,-2.03,9.4,0,0.0,14887.0,55.6,8.3,103.0,4818.0,311883.0,5.79,5.01,7.1,62376618.0,2024-08,2.840909090909091,47.41161616161616,8.143939393939394,19.76641414141414
Andhra Pradesh,22.7,0.0,-4.32,-100.0,0,10.0,14829.0,46.4,25.9,73.0,5372.0,313401.0,5.52,4.9,8.9,62680240.0,2024-09,85.79545454545455,95.64393939393939,10.416666666666668,70.39772727272727
Andhra Pradesh,25.6,0.0,-1.4,-100.0,0,10.0,12410.0,55.1,24.4,107.0,4730.0,314927.0,6.02,4.71,8.5,62985339.0,2024-10,91.09848484848484,88.4469696969697,11.679292929292929,70.31565656565657
Andhra Pradesh,22.1,52.5,-4.86,-42.7,0,10.0,10132.0,50.1,25.6,108.2,4149.0,316460.0,5.54,5.57,11.1,63291923.0,2024-11,58.6489898989899,93.75,35.29040404040404,65.09469696969697
Andhra Pradesh,22.56451612903226,1004.6,1.6012903225806452,-68.5516129032258,0,7.483870967741935,116102.0,50.016129032258064,7.787096774193548,106.36451612903227,5025.419354838709,310677.77419354836,6.128064516129032,5.930322580645162,10.451612903225806,59825.67741935484,2025-01,76.13636363636364,67.92929292929293,72.22222222222221,72.28535353535354
Andhra Pradesh,24.70357142857143,873.6,1.819642857142857,-69.73571428571428,0,7.964285714285714,104236.0,50.73571428571428,8.032142857142857,104.81428571428572,5059.035714285715,309082.25,6.0925,5.697857142857143,10.799999999999999,59891.392857142855,2025-02,84.0909090909091,78.53535353535354,63.13131313131313,76.90656565656566
Andhra Pradesh,26.212903225806453,951.4,1.119032258064516,-70.2290322580645,0,7.516129032258065,324628.0,50.32258064516129,7.9,110.03548387096774,4959.5161290322585,309397.9032258064,6.055483870967742,5.666451612903225,10.925806451612903,61845.903225806454,2025-03,72.34848484848484,69.94949494949495,61.74242424242424,68.85732323232322
Andhra Pradesh,29.233333333333334,924.2,0.697,-70.12333333333332,0,7.666666666666667,319488.0,49.11666666666667,7.706666666666666,108.63333333333334,4730.733333333334,310476.73333333334,6.037333333333334,5.647,10.103333333333333,61927.03333333333,2025-04,71.71717171717171,73.98989898989899,39.39393939393939,64.43181818181817
Andhra Pradesh,31.135483870967743,930.8,0.8651612903225806,-70.87096774193549,0,7.064516129032258,319909.0,49.94516129032258,7.470967741935484,108.37741935483871,5278.193548387097,309625.96774193546,6.000645161290323,5.429354838709678,10.570967741935483,57769.48387096774,2025-05,56.439393939393945,56.439393939393945,36.36363636363637,51.42045454545455
Andhra Pradesh,31.94333333333333,10675.8,0.7573333333333333,245.27333333333334,0,0.0,109096.0,49.309999999999995,3.92,106.86999999999999,4896.3,309901.9666666667,6.1129999999999995,5.538333333333333,10.923333333333334,57916.666666666664,2025-06,32.95454545454545,27.146464646464647,54.166666666666664,36.224747474747474
Andhra Pradesh,31.154838709677417,11785.4,0.7274193548387097,268.86129032258066,0,0.0,117677.0,49.78387096774193,4.032258064516129,109.2258064516129,5010.709677419355,309749.32258064515,6.050000000000001,5.6406451612903235,10.790322580645162,62895.48387096774,2025-07,45.95959595959596,27.65151515151515,55.05050505050505,41.82449494949495
Andhra Pradesh,29.76451612903226,10845.6,1.3748387096774195,239.44516129032255,0,0.0,116634.0,49.65806451612904,4.129032258064516,111.13225806451612,4943.129032258064,311088.87096774194,6.050645161290323,5.661935483870968,10.225806451612904,58673.3870967742,2025-08,35.984848484848484,31.439393939393938,42.92929292929293,36.130050505050505
Andhra Pradesh,27.279999999999998,11362.3,1.067,267.47999999999996,0,0.0,112516.0,50.656666666666666,3.7199999999999998,109.85666666666665,4983.733333333334,310412.93333333335,6.125333333333333,5.816333333333334,10.483333333333333,61161.23333333333,2025-09,47.34848484848485,12.121212121212121,65.78282828282829,39.62752525252526
Andhra Pradesh,24.758064516129032,3747.0,1.1845161290322581,17.283870967741933,0,0.0,400581.0,49.65806451612904,4.012903225806451,106.38064516129033,4984.8387096774195,309583.51612903224,6.06258064516129,5.579032258064516,10.329032258064515,59182.58064516129,2025-10,10.1010101010101,27.904040404040405,41.16161616161616,24.09722222222222
Andhra Pradesh,22.62,3549.0,1.2893333333333332,14.783333333333333,0,0.0,394236.0,49.626666666666665,3.8800000000000003,109.19,5085.3,309874.9,6.0183333333333335,6.027333333333333,10.373333333333333,60249.86666666667,2025-11,9.974747474747476,23.61111111111111,71.33838383838383,30.088383838383837
Andhra Pradesh,22.048387096774192,995.4,1.1603225806451614,-68.86129032258064,0,7.645161290322581,399007.0,49.31612903225806,7.72258064516129,112.89032258064516,5008.129032258064,309722.6129032258,6.065483870967742,5.534516129032258,10.832258064516129,59148.74193548387,2025-12,75.88383838383838,73.10606060606061,48.73737373737374,68.125
Arunachal Pradesh,21.9,537.5,-5.109999999999999,193.15,0,0.0,28904.0,52.45,3.2,103.6,5423.0,300730.0,5.375,5.895,6.05,60146026.5,2024-01,20.075757575757574,8.45959595959596,9.595959595959595,13.390151515151516
Arunachal Pradesh,27.05,83.6,0.050000000000000044,-54.4,0,5.0,21866.0,52.05,2.5,82.7,5110.5,303665.0,5.785,6.470000000000001,9.4,60732979.5,2024-03,48.73737373737374,50.12626262626263,67.67676767676768,53.95833333333333
Arunachal Pradesh,31.3,0.0,4.3,-100.0,0,10.0,4051.0,57.5,32.9,103.7,4571.0,305884.0,5.73,6.58,12.3,61176769.0,2024-04,97.6010101010101,99.74747474747475,86.61616161616162,95.60606060606061
Arunachal Pradesh,33.6,58.1,6.65,-36.6,0,10.0,17101.0,55.6,23.3,151.2,4952.0,307373.0,6.67,5.91,10.7,61474550.0,2024-05,96.5909090909091,85.73232323232324,80.68181818181817,88.81313131313132
Arunachal Pradesh,31.7,103.2,4.75,12.6,0,0.0,18448.0,54.8,2.9,135.4,4687.0,308869.0,6.41,5.46,10.6,61773781.0,2024-06,20.58080808080808,6.8181818181818175,57.32323232323232,24.949494949494948
Arunachal Pradesh,26.8,265.2,-0.16,189.3,0,0.0,20437.0,52.2,7.1,112.6,5486.0,310372.0,6.77,4.96,7.2,62074468.0,2024-07,25.5050505050505,45.707070707070706,16.161616161616163,30.23989898989899
Arunachal Pradesh,28.5,96.4,1.48,5.1,0,0.0,16865.0,51.4,0.3,95.0,4963.0,311883.0,6.51,5.02,10.1,62376618.0,2024-08,7.196969696969697,3.787878787878788,31.944444444444443,12.190656565656566
Arunachal Pradesh,24.3,0.0,-2.73,-100.0,0,10.0,16862.0,48.3,25.5,107.6,5305.0,313401.0,6.17,4.92,6.3,62680240.0,2024-09,88.63636363636364,94.6969696969697,7.07070707070707,70.3661616161616
Arunachal Pradesh,19.7,0.0,-7.29,-100.0,0,10.0,13343.0,59.2,28.2,109.2,4965.0,314927.0,6.52,5.28,8.5,62985339.0,2024-10,65.15151515151516,95.2020202020202,28.66161616161616,66.54671717171716
Arunachal Pradesh,21.1,120.7,-5.92,31.7,0,0.0,8014.0,56.0,6.3,105.4,4362.0,316460.0,5.98,4.84,10.0,63291923.0,2024-11,1.5151515151515151,41.035353535353536,21.96969696969697,20.460858585858585
Arunachal Pradesh,21.529032258064515,972.8,1.120322580645161,-70.22258064516129,0,7.806451612903226,122298.0,50.958064516129035,7.796774193548386,109.28064516129032,4968.774193548387,309523.0,6.021612903225807,5.756451612903225,10.658064516129032,60043.096774193546,2025-01,79.54545454545455,71.71717171717171,59.21717171717171,71.72348484848484
Arunachal Pradesh,23.414285714285715,892.2,1.5046428571428572,-69.77142857142857,0,7.607142857142857,115999.0,49.28214285714286,7.807142857142857,108.32142857142857,5066.607142857143,309735.35714285716,6.121428571428572,5.646785714285714,10.346428571428572,59493.25,2025-02,78.03030303030303,73.73737373737373,48.23232323232323,69.07828282828282
Arunachal Pradesh,25.651612903225807,988.1,0.8358064516129032,-69.75483870967743,0,7.32258064516129,372149.0,50.21612903225807,7.683870967741935,103.01290322580645,5114.677419354839,309885.6451612903,6.136774193548387,5.615161290322581,10.674193548387096,58655.16129032258,2025-03,61.994949494949495,61.36363636363637,54.92424242424242,60.006313131313135
Arunachal Pradesh,28.243333333333332,918.1,0.6823333333333333,-70.96000000000001,0,7.633333333333334,342714.0,49.57333333333334,7.866666666666666,117.22666666666667,4887.9,308505.8,6.122,5.766666666666667,10.066666666666666,59906.36666666667,2025-04,70.95959595959596,74.4949494949495,49.368686868686865,66.79924242424242
Arunachal Pradesh,30.48709677419355,985.0,0.8938709677419355,-69.85483870967742,0,7.516129032258065,364806.0,48.5516129032258,7.793548387096774,108.59354838709677,4910.096774193548,310468.6129032258,6.102903225806451,5.685806451612903,10.8,61553.3870967742,2025-05,69.31818181818183,74.11616161616162,62.752525252525245,69.35606060606061
Arunachal Pradesh,31.3,10496.1,1.0,231.96999999999997,0,0.0,126945.0,48.53333333333333,3.82,112.52666666666667,4986.5,309182.8,6.102,5.608666666666666,10.33,57831.53333333333,2025-06,29.545454545454547,29.292929292929294,44.57070707070707,33.21338383838384
Arunachal Pradesh,30.983870967741936,11724.8,0.6929032258064516,258.8774193548387,0,0.0,128440.0,51.229032258064514,4.370967741935484,105.87096774193549,4800.967741935484,308941.0,6.088387096774194,5.563870967741935,10.47741935483871,60897.93548387097,2025-07,41.28787878787879,29.040404040404038,44.31818181818182,37.75883838383838
Arunachal Pradesh,28.96451612903226,11627.9,0.7761290322580645,255.90322580645162,0,0.0,129260.0,50.47096774193548,3.9322580645161294,115.26129032258065,5112.806451612903,308465.48387096776,6.104838709677419,5.811935483870967,10.325806451612904,59489.16129032258,2025-08,39.26767676767677,18.939393939393938,59.84848484848485,37.2979797979798
Arunachal Pradesh,26.523333333333333,11416.6,0.15033333333333332,261.1,0,0.0,122951.0,47.90333333333333,4.043333333333333,112.43666666666667,4891.3,310465.13333333336,6.074666666666667,6.052333333333333,10.903333333333334,60917.73333333333,2025-09,34.974747474747474,37.62626262626262,77.02020202020202,46.41414141414141
Arunachal Pradesh,24.54516129032258,3869.7,0.23516129032258062,18.432258064516127,0,0.0,449109.0,47.770967741935486,4.054838709677419,102.83548387096775,5048.193548387097,309629.2580645161,6.148387096774194,6.034838709677419,10.83548387096774,62439.48387096774,2025-10,4.797979797979798,38.131313131313135,77.90404040404042,34.74116161616162
Arunachal Pradesh,22.253333333333334,3838.2,1.3376666666666668,21.39333333333333,0,0.0,427397.0,50.669999999999995,4.036666666666666,109.69666666666667,4830.066666666667,309501.0,6.088666666666667,5.808000000000001,10.386666666666667,58457.23333333333,2025-11,14.267676767676768,21.21212121212121,60.47979797979798,28.251262626262626
Arunachal Pradesh,21.374193548387098,975.3,1.1054838709677417,-70.14193548387097,0,7.516129032258065,451682.0,50.690322580645166,7.993548387096775,106.30322580645162,4956.580645161291,310288.93548387097,6.080967741935484,5.739032258064516,10.36774193548387,59535.354838709674,2025-12,71.96969696969697,70.32828282828282,52.27272727272727,66.47095959595958
Assam,21.25,864.0999999999999,-2.745,85.14999999999999,0,0.0,21476.0,53.599999999999994,8.0,107.75,4891.5,300730.0,6.0600000000000005,6.125,9.1,60146026.5,2024-01,6.691919191919192,47.85353535353536,48.61111111111111,31.57828282828283
Assam,25.6,276.2,1.6049999999999998,-40.8,0,5.0,20810.0,54.45,4.25,109.65,5363.0,303665.0,5.905,6.6850000000000005,10.1,60732979.5,2024-03,49.24242424242424,51.010101010101,80.55555555555556,57.68939393939394
Assam,26.7,0.0,2.65,-100.0,0,10.0,6032.0,56.3,20.5,117.8,5041.0,305884.0,5.78,6.18,12.5,61176769.0,2024-04,95.70707070707071,83.96464646464646,82.95454545454545,88.4090909090909
Assam,29.7,301.6,5.66,29.3,0,0.0,18196.0,62.0,3.4,146.0,4819.0,307373.0,6.69,5.91,10.4,61474550.0,2024-05,23.737373737373737,4.671717171717172,79.54545454545455,31.016414141414142
Assam,27.4,602.0,3.37,158.0,0,0.0,13663.0,62.9,9.4,89.5,4790.0,308869.0,5.75,5.88,9.6,61773781.0,2024-06,27.27272727272727,46.08585858585859,33.964646464646464,35.53030303030303
Assam,24.3,408.7,0.29,75.2,0,0.0,14155.0,50.4,1.0,79.9,4616.0,310372.0,5.88,5.06,7.6,62074468.0,2024-07,18.181818181818183,4.545454545454546,9.848484848484848,11.325757575757578
Assam,25.6,328.3,1.63,40.7,0,0.0,14896.0,62.8,5.7,80.0,5492.0,311883.0,5.54,4.68,8.9,62376618.0,2024-08,17.55050505050505,9.217171717171716,8.712121212121213,12.424242424242424
Assam,21.4,0.0,-2.64,-100.0,0,10.0,14358.0,58.4,24.9,77.5,5191.0,313401.0,5.64,5.0,12.0,62680240.0,2024-09,88.88888888888889,88.0050505050505,31.691919191919194,74.28030303030303
Assam,20.4,0.0,-3.61,-100.0,0,10.0,12399.0,56.4,26.5,149.1,4681.0,314927.0,5.71,5.01,10.0,62985339.0,2024-10,87.62626262626263,92.92929292929293,21.085858585858585,72.84722222222223
Assam,19.7,341.0,-4.28,46.1,0,0.0,10726.0,52.2,3.1,87.3,5595.0,316460.0,6.24,5.32,10.5,63291923.0,2024-11,2.398989898989899,8.207070707070708,38.25757575757576,13.396464646464647
