state,month,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr,climate_stress,agri_stress,econ_stress,total_risk
Andaman and Nicobar Islands,2025-01,25.580645161290324,2021.0,1.1509677419354838,-70.89032258064516,0,7.387096774193548,2336.1935483870966,50.86774193548387,7.819354838709677,110.30000000000001,4997.225806451613,167044.48387096773,7.133548387096774,5.969032258064516,10.283870967741937,62390.8064516129,65.42349975677274,76.27746611738706,64.20530589370864,68.91783951722172
Andhra Pradesh,2025-01,22.467741935483872,968.8,1.4609677419354838,-69.69354838709677,0,7.903225806451613,3798.2903225806454,50.73548387096774,7.97741935483871,105.0741935483871,5120.806451612903,310130.3870967742,6.120645161290323,5.812903225806451,10.758064516129032,56813.8064516129,68.78576501920978,75.83385885094017,62.97913266498887,69.8009397717602
Arunachal Pradesh,2025-01,22.651612903225807,978.3000000000001,1.2999999999999998,-70.06451612903226,0,7.483870967741935,4041.0967741935483,49.74516129032258,7.787096774193548,109.49032258064516,5131.387096774193,309796.22580645164,6.050645161290323,5.78,10.674193548387096,57231.709677419356,66.68030671415406,75.12594168508333,62.35717355541266,68.55549566429396
Assam,2025-01,19.82903225806452,2320.3,1.0067741935483872,-71.2290322580645,0,6.870967741935484,3695.2258064516127,50.21290322580645,7.445161290322581,107.66451612903225,5117.612903225807,309317.12903225806,5.962580645161291,5.677741935483871,10.32258064516129,60524.32258064516,63.23952600355818,73.79954944588847,60.04393618289154,66.13663675320711
Bihar,2025-01,21.783870967741933,1135.2,0.5280645161290323,-70.4258064516129,0,7.67741935483871,4488.064516129032,48.251612903225805,7.725806451612903,111.09354838709677,5115.387096774193,205997.1935483871,8.563548387096775,5.795806451612902,10.167741935483871,57062.3870967742,61.061375692377396,74.95822786834866,69.34040220215964,67.99503058141289
Chandigarh,2025-01,16.006451612903227,1836.4,1.134516129032258,-68.47096774193548,0,7.838709677419355,1384.2903225806451,48.458064516129035,8.012903225806452,107.66774193548386,5050.612903225807,138248.5806451613,8.440645161290323,5.587096774193548,10.425806451612903,58283.32258064516,65.89179205134985,78.58087608735234,68.12329626683503,70.89084751782202
Chhattisgarh,2025-01,22.748387096774195,1131.8,1.0729032258064515,-69.66774193548386,0,7.483870967741935,3746.967741935484,50.60322580645161,7.922580645161291,109.83548387096775,4991.548387096775,309197.3870967742,6.217741935483871,5.8587096774193546,10.325806451612904,60309.1935483871,64.83065666411824,75.68003222950271,61.6606684369515,67.83544105521112
Dadra and Nagar Haveli and Daman and Diu,2025-01,16.293548387096774,1625.9,1.0358064516129033,-68.9258064516129,0,7.0,2133.3225806451615,50.4741935483871,7.441935483870967,112.3258064516129,4996.8387096774195,245388.61290322582,6.873225806451613,5.711935483870968,10.116129032258065,59332.3870967742,63.39743119973221,74.94466682269828,63.01284829287893,67.342817941057
Delhi,2025-01,17.603225806451615,1819.5,0.8993548387096774,-71.10967741935484,0,7.451612903225806,1314.7096774193549,50.041935483870965,7.574193548387097,108.67096774193548,4935.419354838709,160397.5806451613,6.047741935483871,5.675806451612903,10.387096774193548,61735.16129032258,63.61028432747404,76.28755562274186,60.02107909871928,67.1500279736291
Goa,2025-01,23.193548387096776,2475.7,0.9625806451612903,-69.98387096774194,0,7.290322580645161,4000.935483870968,52.04838709677419,7.606451612903225,106.55483870967741,4974.741935483871,309259.4193548387,6.123225806451613,5.735806451612904,10.33548387096774,59119.41935483871,63.596632018176486,73.69543828254407,61.2438203280351,66.5430112881698
Gujarat,2025-01,28.92258064516129,370.9,0.6803225806451613,-69.69999999999999,0,7.645161290322581,4741.741935483871,49.377419354838715,7.425806451612904,118.54193548387097,4889.225806451613,515707.93548387097,4.4958064516129035,5.969032258064516,10.638709677419355,61382.32258064516,62.08407396912312,73.13854087859956,57.02876732699815,64.68931072690863
Haryana,2025-01,28.338709677419356,377.0,0.7893548387096775,-70.8225806451613,0,7.193548387096774,10764.161290322581,50.00322580645161,7.451612903225806,113.84516129032258,5010.580645161291,310376.6451612903,6.31258064516129,5.639354838709677,10.3,58831.48387096774,62.1510502547865,68.29026697896217,61.44960663638191,64.12441520364683
Himachal Pradesh,2025-01,10.983870967741936,1483.8,1.0938709677419354,-69.1032258064516,0,7.419354838709677,3803.451612903226,50.91935483870968,7.606451612903226,109.17096774193548,4900.709677419355,309905.6129032258,5.879354838709677,5.573225806451613,10.403225806451612,61503.74193548387,64.77399313634932,74.19058694994983,59.17259695937684,66.66945192686637
Jammu and Kashmir,2025-01,20.70967741935484,1064.0,1.354516129032258,-71.0741935483871,0,7.387096774193548,2197.451612903226,49.332258064516125,7.812903225806451,114.2258064516129,4784.387096774193,190686.1935483871,7.34741935483871,5.722258064516129,10.62258064516129,59599.645161290326,67.05558964078809,76.82046899808125,65.25399662335252,70.0228991614818
Jharkhand,2025-01,22.61935483870968,959.3,0.44225806451612903,-68.80645161290323,0,7.903225806451613,4199.322580645161,50.71612903225807,7.922580645161291,112.7709677419355,5219.580645161291,206153.35483870967,8.691935483870967,5.664193548387097,10.548387096774194,60714.67741935484,60.62252589721534,75.28782347074814,68.65301960934563,67.76300347598439
Karnataka,2025-01,23.309677419354838,2350.5,1.256451612903226,-69.58387096774193,0,7.096774193548387,6668.806451612903,49.04516129032258,7.270967741935484,105.43225806451613,5117.0,516365.12903225806,4.662903225806452,5.648064516129033,10.616129032258065,62359.77419354839,65.44132126031855,71.05051621880003,55.84318639134687,65.00500577854415
Kerala,2025-01,24.82903225806452,2079.0,0.8519354838709677,-70.10645161290323,0,8.03225806451613,4153.1612903225805,50.225806451612904,8.035483870967742,113.06451612903226,4912.1612903225805,310720.12903225806,6.111290322580646,5.670645161290322,10.683870967741935,60026.032258064515,64.32142352513013,75.95358107557527,61.21828765894868,67.61689470124057
Ladakh,2025-01,20.283870967741933,2322.8,0.8690322580645161,-69.3258064516129,0,7.419354838709677,1911.4516129032259,50.05483870967742,7.532258064516129,109.0741935483871,4983.612903225807,147132.51612903227,6.315806451612903,5.846129032258064,10.600000000000001,57667.51612903226,63.035045939175376,75.63190569860082,63.18883726884056,67.48239468739058
Lakshadweep,2025-01,22.6,2178.0,1.011290322580645,-69.43870967741935,0,8.03225806451613,2030.1935483870968,50.26129032258064,7.825806451612903,108.36451612903227,4892.0,116648.3870967742,7.993225806451613,6.017741935483872,10.258064516129032,61670.6129032258,65.47740734414812,76.7293510290189,67.22690316340577,69.85296158866731
Madhya Pradesh,2025-01,23.432258064516127,1094.8,0.767741935483871,-70.18709677419355,0,7.225806451612903,6769.064516129032,48.04838709677419,7.612903225806452,109.6032258064516,4953.548387096775,309092.0967741936,6.027096774193549,5.732903225806451,10.432258064516128,60202.54838709677,61.95399399500375,72.73018306023562,60.75492798489374,65.4258936653074
Maharashtra,2025-01,22.951612903225808,1186.6,1.3709677419354838,-66.78064516129032,0,7.258064516129032,7538.354838709677,49.6741935483871,7.754838709677419,108.09354838709677,4948.096774193548,515534.8387096774,4.4312903225806455,5.970322580645162,10.845161290322581,58700.290322580644,66.26670366055552,72.2391000592678,58.01931857827049,66.29519612953356
Manipur,2025-01,22.467741935483872,1121.4,1.1729032258064516,-69.81290322580645,0,7.32258064516129,3387.2258064516127,48.91612903225807,7.780645161290322,110.19354838709677,5050.677419354839,308631.51612903224,5.7458064516129035,5.819677419354838,10.667741935483871,58492.16129032258,65.29752915672805,75.86507413108866,61.183733810485826,67.96772106119371
Meghalaya,2025-01,20.761290322580646,2641.2,1.4629032258064516,-69.87096774193549,0,7.096774193548387,3746.516129032258,51.13870967741936,7.541935483870968,109.81935483870969,5025.709677419355,310591.93548387097,6.232903225806451,5.590967741935484,10.838709677419354,59587.032258064515,67.11178025008718,73.89440046565407,61.6468332919533,68.11946058600212
Mizoram,2025-01,18.53548387096774,3159.9,1.0080645161290323,-69.6,0,7.225806451612903,4097.580645161291,50.096774193548384,7.483870967741935,104.56451612903226,5099.322580645161,308517.2580645161,5.98258064516129,5.763548387096773,10.316129032258065,59215.1935483871,63.760318358345806,73.68094766297291,60.86825600913103,66.5095230276616
Nagaland,2025-01,23.809677419354838,1242.1,0.7012903225806452,-70.37096774193549,0,7.548387096774194,3988.3548387096776,49.222580645161294,7.645161290322581,114.08064516129032,5077.709677419355,309200.2580645161,6.053870967741935,5.550967741935485,10.654838709677419,61075.22580645161,62.1440988421778,74.71843536872069,60.160356870747705,66.04918113361029
Odisha,2025-01,22.325806451612905,903.0,0.7935483870967742,-69.19032258064516,0,7.290322580645161,3941.3548387096776,49.148387096774194,7.767741935483872,111.61612903225806,5019.258064516129,206143.51612903227,8.463548387096774,5.704516129032259,10.564516129032258,58975.51612903226,62.14517053481954,75.3013409708863,68.69761664486661,68.38794171495468
Puducherry,2025-01,16.674193548387095,933.8,0.8735483870967743,-71.3258064516129,0,7.806451612903226,1182.8387096774193,48.438709677419354,7.458064516129032,106.91612903225807,5125.322580645161,163837.35483870967,8.098709677419356,5.60741935483871,10.44516129032258,60988.93548387097,64.19425535114486,76.37711861324408,66.34209855772083,68.99521829452358
Punjab,2025-01,28.490322580645163,341.9,1.0635483870967741,-68.8258064516129,0,7.741935483870968,9637.677419354839,50.483870967741936,7.848387096774194,104.96129032258065,5070.451612903225,308624.1935483871,5.954193548387098,5.84741935483871,10.712903225806452,63277.096774193546,65.1796984680232,70.73264472106668,60.50637354404527,65.95489842559394
Rajasthan,2025-01,27.580645161290324,325.8,1.312258064516129,-71.05483870967741,0,7.838709677419355,4643.451612903225,48.809677419354834,8.04516129032258,109.94516129032259,4991.580645161291,310194.3870967742,6.038064516129032,5.596451612903226,10.819354838709677,61579.3870967742,67.68045762616025,76.0313533033527,60.414538449391394,68.7867913189854
Sikkim,2025-01,10.074193548387097,1097.7,1.5212903225806451,-70.0516129032258,0,7.32258064516129,4241.193548387097,49.13548387096775,7.670967741935484,111.56774193548387,4975.935483870968,309193.8064516129,6.091290322580646,5.813548387096774,10.706451612903225,62293.67741935484,68.07956378260778,74.65446831268257,61.08237731338997,68.6314837508295
Tamil Nadu,2025-01,24.174193548387095,1979.8999999999999,0.6912903225806452,-71.24193548387096,0,7.645161290322581,3324.1612903225805,49.400000000000006,7.748387096774193,110.79677419354839,4987.322580645161,516701.03225806454,4.2293548387096775,5.636451612903225,10.67741935483871,60624.51612903226,62.40181962311586,75.63212903428425,55.11362134582386,65.21037834770179
Telangana,2025-01,22.393548387096775,915.9,0.7683870967741936,-71.57096774193548,0,7.548387096774194,3866.3870967741937,48.90967741935484,7.645161290322581,111.01290322580645,5069.870967741936,309649.93548387097,6.134516129032258,5.65258064516129,10.432258064516128,60974.83870967742,62.853002046110674,74.90892440590703,60.50223299247356,66.48488260863013
Tripura,2025-01,20.47741935483871,2686.4,0.40354838709677415,-71.0741935483871,0,7.354838709677419,3769.8064516129034,49.061290322580646,7.638709677419355,107.41935483870968,5010.4838709677415,310530.0967741936,6.189032258064516,5.916774193548386,10.635483870967741,59452.32258064516,59.49076966676412,74.91239973099911,62.59470224909913,65.66432333483013
Uttar Pradesh,2025-01,24.11935483870968,1232.7,0.8961290322580645,-70.22258064516129,0,7.645161290322581,8983.548387096775,49.645161290322584,7.629032258064516,110.23548387096774,5088.580645161291,206558.64516129033,8.61741935483871,5.597741935483871,10.493548387096775,60685.16129032258,63.8635968516237,70.56579391239258,68.06429674158373,67.25954079538282
Uttarakhand,2025-01,9.306451612903226,1272.4,0.6948387096774193,-69.72258064516129,0,7.451612903225806,3876.5806451612902,50.2,7.938709677419355,104.97096774193548,5049.322580645161,310042.22580645164,6.24,5.513870967741935,11.03225806451613,63387.83870967742,61.79008216089578,75.76719622798626,60.46444529759861,66.35066286855316
West Bengal,2025-01,23.083870967741937,1076.5,0.8551612903225807,-69.24193548387096,0,7.870967741935484,3672.3548387096776,49.019354838709674,8.04516129032258,109.70645161290322,5206.4838709677415,309668.5483870968,6.0038709677419355,5.626129032258064,10.5,62139.54838709677,63.87400324531815,76.73771491821118,59.73518129109931,67.341596842276
Andaman and Nicobar Islands,2025-02,26.892857142857142,1947.4,1.0532142857142857,-68.95,0,7.928571428571429,2241.25,50.614285714285714,8.0,106.79285714285713,5110.714285714285,167728.57142857142,7.028214285714285,5.724285714285714,10.346428571428572,61192.92857142857,65.51396471685737,77.20006340746863,63.33114625238077,69.05839464245217
Andhra Pradesh,2025-02,24.582142857142856,876.5,1.0332142857142856,-69.62142857142858,0,7.214285714285714,3672.214285714286,49.707142857142856,7.389285714285714,114.4,5004.821428571428,308805.10714285716,5.975714285714285,5.843928571428571,10.557142857142859,58594.17857142857,63.93726832403204,73.73091921178101,61.77641700240935,66.82483330433851
Arunachal Pradesh,2025-02,23.571428571428573,860.0,0.9567857142857142,-70.84285714285714,0,7.5,4060.535714285714,49.49285714285714,7.771428571428571,104.65,5050.25,309130.0,6.0996428571428565,5.722857142857143,10.235714285714286,56577.21428571428,64.12592245813649,75.11933136794927,61.753807653864314,67.38058687550291
Assam,2025-02,22.407142857142855,2133.2,1.2853571428571429,-70.70714285714286,0,7.821428571428571,3678.714285714286,50.589285714285715,8.082142857142857,117.0,5043.607142857143,309154.0,5.951071428571429,5.647142857142858,10.842857142857143,58265.642857142855,67.37948325819997,76.41960822217575,61.443457389927964,69.05952052852349
Bihar,2025-02,23.832142857142856,1048.4,0.7253571428571428,-69.76428571428572,0,6.928571428571429,4451.321428571428,50.09285714285714,7.410714285714286,109.27857142857144,4958.25,206257.64285714287,8.599642857142857,5.6032142857142855,11.092857142857143,60478.42857142857,60.92405112839175,73.08952616356359,69.08021467062866,67.22100827626113
Chandigarh,2025-02,17.567857142857143,1562.8,0.9282142857142857,-70.3,0,7.321428571428571,1435.1785714285713,51.50714285714286,7.5249999999999995,109.60714285714286,4841.535714285715,138133.17857142858,8.38642857142857,5.840357142857143,10.939285714285715,59279.28571428572,63.439334906075985,75.54250757353608,69.55248582377064,69.20373306911068
Chhattisgarh,2025-02,24.307142857142857,1049.1,0.8875000000000001,-68.86785714285715,0,7.571428571428571,3886.1428571428573,49.332142857142856,7.553571428571429,110.125,4994.285714285715,310221.71428571426,6.0775,5.587142857142857,10.450000000000001,59296.07142857143,63.435490197581274,74.37544884821396,60.60948073027126,66.55797335847521
Dadra and Nagar Haveli and Daman and Diu,2025-02,18.307142857142857,1394.1,1.2539285714285715,-70.51071428571429,0,6.928571428571429,2144.9285714285716,50.214285714285715,7.414285714285714,108.14999999999999,4961.642857142857,244853.7142857143,6.9925,5.631071428571429,10.778571428571428,58876.107142857145,65.20258117585743,74.89538160704191,64.26658325232162,68.36106184588806
Delhi,2025-02,18.385714285714283,1690.0,0.6792857142857143,-70.29285714285714,0,7.428571428571429,1425.9285714285713,48.18214285714286,7.635714285714286,113.58214285714287,4839.535714285715,160494.4642857143,6.0217857142857145,5.894642857142857,9.867857142857144,58469.857142857145,61.70399974932642,77.02008201136672,61.04062720389195,66.89878540468192
Goa,2025-02,24.62857142857143,2282.4,0.48035714285714287,-69.36785714285715,0,7.214285714285714,4070.6071428571427,51.15714285714286,7.539285714285714,105.62857142857142,4957.535714285715,309133.21428571426,6.144642857142857,5.665,10.321428571428571,62148.892857142855,59.54123004272528,73.62082385742185,60.03434757067031,64.59236725985534
Gujarat,2025-02,29.982142857142858,349.1,1.4414285714285715,-68.41785714285714,0,7.464285714285714,5008.964285714285,50.94285714285714,8.039285714285715,111.68214285714285,4986.25,516710.53571428574,4.509285714285714,5.780714285714285,10.442857142857141,60855.53571428572,67.5064749801754,75.07676601094362,56.12136983267116,67.30980055406822
Haryana,2025-02,29.589285714285715,358.4,0.9296428571428572,-69.225,0,7.857142857142857,10541.107142857143,47.75714285714286,7.932142857142857,113.04285714285713,4984.928571428572,309740.60714285716,6.149642857142857,5.844285714285713,10.296428571428573,59779.107142857145,64.4291635238006,71.19263629104985,61.51012190658164,66.0666185880331
Himachal Pradesh,2025-02,12.75,1251.0,1.792857142857143,-71.16428571428571,0,7.214285714285714,3925.1428571428573,49.589285714285715,7.596428571428571,112.6892857142857,4985.857142857143,310074.4285714286,5.925357142857143,5.893571428571429,10.485714285714286,59413.25,70.15672755441008,74.45041053750091,61.45652512371631,69.48446599081842
Jammu and Kashmir,2025-02,21.92142857142857,1069.2,1.4317857142857144,-67.82142857142857,0,7.785714285714286,2165.8571428571427,50.332142857142856,7.796428571428572,109.23571428571428,4995.714285714285,191516.92857142858,7.372142857142856,5.596428571428571,10.828571428571427,60885.78571428572,68.02488959928812,76.47518514201782,64.73221601059036,70.15932464206908
Jharkhand,2025-02,24.675,878.7,1.0110714285714286,-68.35714285714286,0,7.357142857142857,4190.642857142857,48.50714285714286,7.889285714285714,113.57142857142857,5030.285714285715,206049.14285714287,8.750714285714286,5.975357142857143,10.410714285714286,59272.642857142855,63.87703151221859,75.81522662275869,70.37242323476833,69.67924773154506
