state,date,month,avg_temperature,total_rainfall_mm,temp_anomaly_deg,rainfall_anomaly_pct,heatwave_days,drought_severity,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha,gdp_estimate_crores,unemployment_rate_pct,inflation_rate_pct,poverty_rate_pct,per_capita_income_inr,year,month_num,quarter,season,climate_stress,agri_stress,econ_stress
Andhra Pradesh,2024-01-01,2024-01,23.7,240.1,-3.34,161.9,0,0,8622.0,49.4,2.7,135.0,5468.0,300000.0,6.61,5.88,8.3,60000000.0,2024,1,1,Winter,11.435,7.760000000000001,12.49
Andhra Pradesh,2024-01-31,2024-01,25.8,364.9,-1.2,298.0,0,0,15052.0,49.4,7.2,89.5,5245.0,301460.0,6.07,5.77,9.8,60292053.0,2024,1,1,Winter,16.1,12.260000000000002,11.84
Andhra Pradesh,2024-03-01,2024-03,26.5,85.2,-0.47,-7.0,0,0,9067.0,53.8,7.1,92.5,5355.0,302928.0,5.49,6.26,6.0,60585528.0,2024,3,1,Summer,0.82,11.719999999999999,11.75
Andhra Pradesh,2024-03-31,2024-03,32.7,0.0,5.66,-100.0,0,10,13066.0,60.8,3.9,78.4,5308.0,304402.0,6.56,6.61,12.1,60880431.0,2024,3,1,Summer,10.66,7.82,13.17
Andhra Pradesh,2024-04-30,2024-04,30.4,0.0,3.39,-100.0,0,10,5593.0,56.6,24.1,75.0,5462.0,305884.0,5.73,6.15,6.8,61176769.0,2024,4,2,Summer,8.39,28.44,11.88
Andhra Pradesh,2024-05-30,2024-05,31.1,78.9,4.07,-14.0,0,0,14445.0,60.2,3.4,85.9,4296.0,307373.0,6.62,6.25,7.9,61474550.0,2024,5,2,Summer,4.7700000000000005,7.379999999999999,12.870000000000001
Andhra Pradesh,2024-06-29,2024-06,31.8,106.7,4.81,16.4,0,0,10330.0,48.6,6.8,135.1,3959.0,308869.0,6.08,5.95,11.2,61773781.0,2024,6,2,Monsoon,5.63,11.94,12.030000000000001
Andhra Pradesh,2024-07-29,2024-07,26.1,208.2,-0.95,127.1,0,0,20089.0,54.5,5.6,89.1,5200.0,310372.0,6.72,5.19,6.3,62074468.0,2024,7,3,Monsoon,7.305,10.149999999999999,11.91
Andhra Pradesh,2024-08-28,2024-08,25.0,100.3,-2.03,9.4,0,0,14887.0,55.6,8.3,103.0,4818.0,311883.0,5.79,5.01,7.1,62376618.0,2024,8,3,Monsoon,2.5,12.74,10.8
Andhra Pradesh,2024-09-27,2024-09,22.7,0.0,-4.32,-100.0,0,10,14829.0,46.4,25.9,73.0,5372.0,313401.0,5.52,4.9,8.9,62680240.0,2024,9,3,Monsoon,9.32,31.259999999999998,10.42
Andhra Pradesh,2024-10-27,2024-10,25.6,0.0,-1.4,-100.0,0,10,12410.0,55.1,24.4,107.0,4730.0,314927.0,6.02,4.71,8.5,62985339.0,2024,10,4,Post-Monsoon,6.4,28.89,10.73
Andhra Pradesh,2024-11-26,2024-11,22.1,52.5,-4.86,-42.7,0,10,10132.0,50.1,25.6,108.2,4149.0,316460.0,5.54,5.57,11.1,63291923.0,2024,11,4,Post-Monsoon,6.995000000000001,30.590000000000003,11.11
Arunachal Pradesh,2024-01-01,2024-01,21.6,258.8,-5.42,182.3,0,0,14470.0,56.3,6.4,119.7,5833.0,300000.0,5.08,5.52,6.0,60000000.0,2024,1,1,Winter,14.535,10.77,10.6
Arunachal Pradesh,2024-01-31,2024-01,22.2,278.7,-4.8,204.0,0,0,14434.0,48.6,0.0,87.5,5013.0,301460.0,5.67,6.27,6.1,60292053.0,2024,1,1,Winter,15.0,5.14,11.94
Arunachal Pradesh,2024-03-01,2024-03,25.8,83.6,-1.2,-8.8,0,0,13242.0,55.9,2.8,84.9,4694.0,302928.0,5.54,6.36,9.4,60585528.0,2024,3,1,Summer,1.6400000000000001,7.21,11.9
Arunachal Pradesh,2024-03-31,2024-03,28.3,0.0,1.3,-100.0,0,10,8624.0,48.2,2.2,80.5,5527.0,304402.0,6.03,6.58,9.4,60880431.0,2024,3,1,Summer,6.3,7.38,12.61
Arunachal Pradesh,2024-04-30,2024-04,31.3,0.0,4.3,-100.0,0,10,4051.0,57.5,32.9,103.7,4571.0,305884.0,5.73,6.58,12.3,61176769.0,2024,4,2,Summer,9.3,37.15,12.31
Arunachal Pradesh,2024-05-30,2024-05,33.6,58.1,6.65,-36.6,0,10,17101.0,55.6,23.3,151.2,4952.0,307373.0,6.67,5.91,10.7,61474550.0,2024,5,2,Summer,8.48,27.740000000000002,12.58
