state,date,month,crop_production_1000t,irrigation_coverage_pct,crop_failure_rate_pct,fertilizer_consumption_kg_per_ha,land_under_cultivation_1000ha
Andhra Pradesh,2024-01-01,2024-01,8622.0,49.4,2.7,135.0,5468.0
Andhra Pradesh,2024-01-31,2024-01,15052.0,49.4,7.2,89.5,5245.0
Andhra Pradesh,2024-03-01,2024-03,9067.0,53.8,7.1,92.5,5355.0
Andhra Pradesh,2024-03-31,2024-03,13066.0,60.8,3.9,78.4,5308.0
Andhra Pradesh,2024-04-30,2024-04,5593.0,56.6,24.1,75.0,5462.0
Andhra Pradesh,2024-05-30,2024-05,14445.0,60.2,3.4,85.9,4296.0
Andhra Pradesh,2024-06-29,2024-06,10330.0,48.6,6.8,135.1,3959.0
Andhra Pradesh,2024-07-29,2024-07,20089.0,54.5,5.6,89.1,5200.0
Andhra Pradesh,2024-08-28,2024-08,14887.0,55.6,8.3,103.0,4818.0
Andhra Pradesh,2024-09-27,2024-09,14829.0,46.4,25.9,73.0,5372.0
Andhra Pradesh,2024-10-27,2024-10,12410.0,55.1,24.4,107.0,4730.0
Andhra Pradesh,2024-11-26,2024-11,10132.0,50.1,25.6,108.2,4149.0
Arunachal Pradesh,2024-01-01,2024-01,14470.0,56.3,6.4,119.7,5833.0
Arunachal Pradesh,2024-01-31,2024-01,14434.0,48.6,0.0,87.5,5013.0
Arunachal Pradesh,2024-03-01,2024-03,13242.0,55.9,2.8,84.9,4694.0
Arunachal Pradesh,2024-03-31,2024-03,8624.0,48.2,2.2,80.5,5527.0
Arunachal Pradesh,2024-04-30,2024-04,4051.0,57.5,32.9,103.7,4571.0
Arunachal Pradesh,2024-05-30,2024-05,17101.0,55.6,23.3,151.2,4952.0
Arunachal Pradesh,2024-06-29,2024-06,18448.0,54.8,2.9,135.4,4687.0
Arunachal Pradesh,2024-07-29,2024-07,20437.0,52.2,7.1,112.6,5486.0
Arunachal Pradesh,2024-08-28,2024-08,16865.0,51.4,0.3,95.0,4963.0
Arunachal Pradesh,2024-09-27,2024-09,16862.0,48.3,25.5,107.6,5305.0
Arunachal Pradesh,2024-10-27,2024-10,13343.0,59.2,28.2,109.2,4965.0
Arunachal Pradesh,2024-11-26,2024-11,8014.0,56.0,6.3,105.4,4362.0
Assam,2024-01-01,2024-01,9405.0,54.8,8.2,113.6,5014.0
Assam,2024-01-31,2024-01,12071.0,52.4,7.8,101.9,4769.0
Assam,2024-03-01,2024-03,10957.0,56.1,4.1,90.4,5628.0
Assam,2024-03-31,2024-03,9853.0,52.8,4.4,128.9,5098.0
