state,current_risk_dec2025,ma_forecast_feb2026,ma_forecast_mar2026,ma_forecast_apr2026,lt_forecast_feb2026,lt_forecast_mar2026,lt_forecast_apr2026,best_forecast_feb,best_forecast_mar,best_forecast_apr
Andaman and Nicobar Islands,66.31,45.02,45.02,45.02,67.99,69.68,71.36,67.99,69.68,71.36
Andhra Pradesh,67.41,37.84,37.84,37.84,70.36,73.32,76.28,70.36,73.32,76.28
Arunachal Pradesh,61.71,37.36,37.36,37.36,63.25,64.79,66.33,63.25,64.79,66.33
Assam,67.66,38.29,38.29,38.29,71.27,74.88,78.48,71.27,74.88,78.48
Bihar,68.68,47.52,47.52,47.52,70.64,72.6,74.56,70.64,72.6,74.56
Chandigarh,51.28,31.94,31.94,31.94,53.69,56.1,58.51,53.69,56.1,58.51
Chhattisgarh,60.9,40.01,40.01,40.01,62.09,63.28,64.47,62.09,63.28,64.47
Dadra and Nagar Haveli and Daman and Diu,67.1,44.01,44.01,44.01,69.87,72.63,75.4,69.87,72.63,75.4
Delhi,78.95,49.29,49.29,49.29,83.35,87.76,92.16,83.35,87.76,92.16
Goa,65.95,39.47,39.47,39.47,68.2,70.45,72.71,68.2,70.45,72.71
Gujarat,50.98,28.76,28.76,28.76,52.69,54.4,56.11,52.69,54.4,56.11
Haryana,57.83,35.74,35.74,35.74,58.85,59.86,60.88,58.85,59.86,60.88
Himachal Pradesh,56.17,35.44,35.44,35.44,57.35,58.53,59.71,57.35,58.53,59.71
Jammu and Kashmir,69.55,43.99,43.99,43.99,71.7,73.86,76.02,71.7,73.86,76.02
Jharkhand,83.01,50.6,50.6,50.6,87.83,92.66,97.49,87.83,92.66,97.49
Karnataka,55.51,27.31,27.31,27.31,55.89,56.27,56.66,55.89,56.27,56.66
Kerala,66.86,40.69,40.69,40.69,69.33,71.8,74.28,69.33,71.8,74.28
Ladakh,82.25,50.04,50.04,50.04,86.8,91.34,95.89,86.8,91.34,95.89
Lakshadweep,76.97,43.87,43.87,43.87,81.5,86.02,90.55,81.5,86.02,90.55
Madhya Pradesh,60.67,37.12,37.12,37.12,63.23,65.8,68.36,63.23,65.8,68.36
Maharashtra,54.46,29.61,29.61,29.61,58.04,61.62,65.2,58.04,61.62,65.2
Manipur,55.83,32.68,32.68,32.68,56.78,57.73,58.68,56.78,57.73,58.68
Meghalaya,59.75,38.71,38.71,38.71,60.77,61.8,62.82,60.77,61.8,62.82
Mizoram,65.35,37.46,37.46,37.46,69.07,72.8,76.52,69.07,72.8,76.52
Nagaland,65.99,39.82,39.82,39.82,70.09,74.19,78.29,70.09,74.19,78.29
Odisha,77.65,48.43,48.43,48.43,79.8,81.96,84.11,79.8,81.96,84.11
Puducherry,83.9,50.94,50.94,50.94,88.43,92.95,97.48,88.43,92.95,97.48
Punjab,67.8,35.8,35.8,35.8,70.36,72.92,75.48,70.36,72.92,75.48
Rajasthan,76.11,44.05,44.05,44.05,79.32,82.53,85.74,79.32,82.53,85.74
Sikkim,62.18,38.57,38.57,38.57,64.3,66.42,68.54,64.3,66.42,68.54
Tamil Nadu,49.17,27.36,27.36,27.36,50.66,52.15,53.64,50.66,52.15,53.64
Telangana,77.9,45.13,45.13,45.13,82.14,86.37,90.6,82.14,86.37,90.6
Tripura,65.93,38.39,38.39,38.39,69.01,72.1,75.18,69.01,72.1,75.18
Uttar Pradesh,73.27,47.45,47.45,47.45,75.53,77.78,80.04,75.53,77.78,80.04
Uttarakhand,70.75,46.04,46.04,46.04,73.25,75.76,78.26,73.25,75.76,78.26
West Bengal,71.04,38.44,38.44,38.44,74.75,78.47,82.18,74.75,78.47,82.18
