state,current_risk,avg_risk,risk_change_total,monthly_change_rate,trend_strength_r2,trend_significance_p,trend_category,climate_trend,agri_trend,econ_trend,dominant_driver
Goa,31.758387096774197,28.751054083461344,1.6590322580645172,-0.5491357701438347,0.1938192823574023,0.15205740579541296,STABLE,-0.14891166629069866,-0.40548104852137107,0.005256944668234975,Agri
Tripura,30.95258064516129,28.621538530465944,0.7767741935483912,-0.5746068501391082,0.23018181098577842,0.11446536710507013,STABLE,-0.14114432341851696,-0.42782374077535373,-0.005638785945237643,Agri
Arunachal Pradesh,31.708064516129028,28.911524065540192,0.8612903225806399,-0.5803115916341725,0.23499422763460728,0.11020665599694238,STABLE,-0.17830674701642438,-0.4251304824208048,0.02312563780305713,Agri
Dadra and Nagar Haveli and Daman and Diu,31.25322580645161,29.20685343061956,0.9787096774193529,-0.5904772485578939,0.2152144159500369,0.12871989874084735,STABLE,-0.17280730291214158,-0.4135669303814466,-0.004103015264305624,Agri
Madhya Pradesh,30.73806451612903,28.591528865847412,0.6890322580645112,-0.5917871241661569,0.24748211959221988,0.09983339121950788,STABLE,-0.16612589023879334,-0.42465936482871963,-0.0010018690986435402,Agri
Bihar,32.48129032258064,30.23729128264209,0.3961290322580595,-0.6016847749025171,0.23381845959780337,0.11123325839454273,STABLE,-0.1683431944399686,-0.43819214656311434,0.004850566100565971,Agri
Puducherry,31.43258064516129,29.751095814132103,-0.6245161290322621,-0.6021146085097702,0.26874529200814196,0.08421688312988221,STABLE,-0.16098910498104033,-0.4284683032021742,-0.012657200326555337,Agri
Mizoram,30.000967741935483,28.271684587813613,-0.014193548387098076,-0.6024483795774117,0.2431549393655781,0.10332064718972636,STABLE,-0.16050746028165383,-0.4271307751388396,-0.014810144156918175,Agri
Odisha,32.45548387096774,30.279116615463394,0.6412903225806481,-0.6061317875672713,0.22749151745383278,0.11691274161325886,STABLE,-0.16879530952918048,-0.4408359248278601,0.003499446789769453,Agri
Jharkhand,32.22096774193548,30.477843573988736,-0.0006451612903219939,-0.6065824068404714,0.26726341916782775,0.08522810558136573,STABLE,-0.15235829761636213,-0.4477833617994908,-0.006440747424618351,Agri
Chhattisgarh,30.644516129032255,28.892783602150534,-0.07612903225807344,-0.6101421347469738,0.256994739043363,0.09254541702912279,STABLE,-0.19063297992330244,-0.4353797976217333,0.01587064279806208,Agri
Punjab,30.14548387096774,28.585771441372245,-0.6777419354838763,-0.612559228406003,0.22971660596599583,0.11488510359943654,STABLE,-0.17818751678429098,-0.43359467951403435,-0.0007770321076774131,Agri
Manipur,30.59322580645161,28.275912570404504,0.17483870967740955,-0.6128096795677445,0.23554890438158008,0.10972542333752607,STABLE,-0.1612520329133233,-0.44091755556271695,-0.010640091091704055,Agri
Chandigarh,33.18354838709678,30.383156938044035,0.5767741935483883,-0.6158387956129894,0.2529587086839976,0.09557560862712672,STABLE,-0.1897700149313054,-0.4282543639156542,0.002185583233970334,Agri
Telangana,30.73935483870968,28.569731054787507,0.31193548387096826,-0.6161539482023353,0.25108705256345365,0.09701153895075038,STABLE,-0.17617711858034432,-0.4337821721289464,-0.006194657493044435,Agri
Nagaland,30.806774193548385,28.817041218637996,0.5725806451612883,-0.6199585683134072,0.24950019067575105,0.09824450790043543,STABLE,-0.1761962607285188,-0.44785326232906875,0.0040909547441805565,Agri
Haryana,30.30935483870968,28.750634536610338,0.31387096774194134,-0.6210356901163346,0.2588906958409156,0.09115261103665623,STABLE,-0.18707755953723687,-0.4370167064118676,0.003058575832769275,Agri
Lakshadweep,32.10387096774193,29.77238421658986,-0.4112903225806477,-0.6220904230178429,0.2725137935289057,0.08169422736681614,STABLE,-0.19831181721504307,-0.4358564526870978,0.012077846884298471,Agri
Uttarakhand,29.817419354838712,28.80244770865335,-0.5648387096774172,-0.6227979090801671,0.2547417917919981,0.09422583638822477,STABLE,-0.18982714865779385,-0.4398291090629799,0.006858348640606807,Agri
Meghalaya,30.78354838709677,28.98217716333845,0.32129032258063717,-0.6325540051346503,0.24922223264471224,0.09846195791996985,STABLE,-0.17146918404176456,-0.4371711514292159,-0.023913669663669725,Agri
Delhi,30.754193548387093,28.564471646185353,0.48096774193547986,-0.6363084147035764,0.26715551665709797,0.08530216761391461,STABLE,-0.19926154759219264,-0.4422696523906201,0.005222785279236776,Agri
Ladakh,30.88612903225806,28.823448924731185,0.400322580645156,-0.6381793743890521,0.25182994025435596,0.09643923772091127,STABLE,-0.20025096677516036,-0.42798747757618716,-0.009940930037704033,Agri
Uttar Pradesh,32.177741935483866,30.216144457245264,-0.061612903225814364,-0.6385187957204091,0.27416262554482834,0.08061222371017135,STABLE,-0.21106984950533347,-0.4358379174588853,0.008388971243810028,Agri
Andaman and Nicobar Islands,31.460645161290323,29.457708525345627,0.06483870967741723,-0.63895256893644,0.26433376375034995,0.08725990081018839,STABLE,-0.18171377010086687,-0.4593818573899219,0.002143058554348992,Agri
Andhra Pradesh,30.438387096774196,28.66758326932924,-1.0725806451612847,-0.6406130670404864,0.26168765843927505,0.0891329211220497,STABLE,-0.18127305490208734,-0.4463411722685915,-0.012998839869807634,Agri
Maharashtra,29.007419354838717,27.704849782386074,-0.5512903225806376,-0.6418654490670619,0.2696874986201749,0.08357961526581173,STABLE,-0.17314250265863168,-0.45625985842114886,-0.012463087987281653,Agri
Jammu and Kashmir,31.844193548387096,29.765215117767536,0.10999999999999943,-0.6566327785118108,0.2606049209722646,0.08990985989885723,STABLE,-0.2178489010989012,-0.43723555745329923,-0.0015483199596102307,Agri
Rajasthan,31.518709677419352,29.021398233486938,0.19645161290322477,-0.661340170582106,0.2741581223030566,0.08061516106361635,STABLE,-0.20683033901582282,-0.46296202184911867,0.008452190282835427,Agri
Assam,30.37516129032258,28.303587877624167,0.7222580645161294,-0.6636784210413241,0.291794275131694,0.06982497774850056,STABLE,-0.22776290913387667,-0.43318027939802134,-0.002735232509426013,Agri
Kerala,30.26967741935484,28.937866295442905,-0.7993548387096823,-0.6637394943765915,0.27463439913880083,0.08030503431993476,STABLE,-0.22478744373905657,-0.43846271739013665,-0.0004893332473977504,Agri
Himachal Pradesh,30.011612903225803,28.387154569892473,-0.07806451612903587,-0.6670074629671405,0.28407526035833947,0.07437612447557519,STABLE,-0.22662386806741636,-0.4353609159657546,-0.005022678933969259,Agri
Gujarat,29.086129032258064,27.73149839989759,-0.2961290322580652,-0.6687356917276274,0.30255377776637915,0.06389767141312117,STABLE,-0.21359360800489835,-0.44575634849021945,-0.009385735232509467,Agri
West Bengal,30.28161290322581,28.743089477726574,-0.4906451612903169,-0.674293958729442,0.3000362970159621,0.06524267057849736,STABLE,-0.20498998044965788,-0.4594760937986744,-0.009827884481110247,Agri
Karnataka,28.614838709677414,27.46744553251408,-0.5322580645161352,-0.6781301950737437,0.3076772030670712,0.061236493053809446,STABLE,-0.22632415434028347,-0.45455957483376846,0.002753534100308214,Agri
Tamil Nadu,28.86967741935484,27.325855094726066,-0.3248387096774188,-0.6893896748412877,0.31375291240365133,0.05820877013446282,STABLE,-0.23781977162622325,-0.4600841362938137,0.008514233078749442,Agri
Sikkim,29.975161290322585,28.6810273937532,-0.9438709677419297,-0.690956957021473,0.31722682180732564,0.05653795970282258,STABLE,-0.21567833510575468,-0.4589206438722565,-0.0163579780434619,Agri
